Matrix Size,Tile Size,Command,Instructions,Cache Misses,Elapsed Time
256,4,8,atlas,214108,1987,0.001268304
256,4,32,atlas,226281,2013,0.004538564
256,4,64,atlas,242629,2058,0.000708912
256,4,128,atlas,258742,2012,0.000724875
256,4,256,atlas,307318,2080,0.004578935
256,4,512,atlas,404466,2160,0.004249729
256,4,1024,atlas,598762,2521,0.004539009
256,4,2048,atlas,995554,3034,0.005227272
256,4,4096,atlas,1780926,4116,0.001247248
256,8,4,atlas,310716,2102,0.004760954
256,8,8,atlas,314262,2099,0.004478841
256,8,32,atlas,335681,2163,0.004537342
256,8,64,atlas,355890,2254,0.004886640
256,8,128,atlas,404466,2237,0.004701157
256,8,256,atlas,501618,2330,0.005619811
256,8,512,atlas,695918,2635,0.004444545
256,8,1024,atlas,1092702,3175,0.005244883
256,8,2048,atlas,1878134,4080,0.001520175
256,8,4096,atlas,3448886,6114,0.007512990
256,32,4,atlas,910913,2984,0.004997345
256,32,8,atlas,923720,2906,0.000950302
256,32,32,atlas,999634,2948,0.005154419
256,32,64,atlas,1092713,3141,0.004458508
256,32,128,atlas,1287013,3315,0.005847961
256,32,256,atlas,1683801,3900,0.005894813
256,32,512,atlas,2469218,4900,0.001451879
256,32,1024,atlas,4039951,6795,0.007486822
256,32,2048,atlas,7181470,10813,0.009837669
256,32,4096,atlas,13464470,18489,0.013984676
256,64,4,atlas,1708580,3953,0.001148414
256,64,8,atlas,1733427,3918,0.006040165
256,64,32,atlas,1882474,4196,0.005724311
256,64,64,atlas,2080851,4336,0.006489150
256,64,128,atlas,2469502,4936,0.001869992
256,64,256,atlas,3254571,5916,0.001700732
256,64,512,atlas,4825350,7811,0.007593564
256,64,1024,atlas,7966831,11586,0.009978466
256,64,2048,atlas,14249846,19426,0.013276874
256,64,4096,atlas,26815846,35091,0.022806246
256,128,4,atlas,3303597,5936,0.003004184
256,128,8,atlas,3352708,5990,0.001696158
256,128,32,atlas,3647208,6264,0.006239259
256,128,64,atlas,4039933,6825,0.006442964
256,128,128,atlas,4825322,7829,0.007822953
256,128,256,atlas,6396157,9754,0.008260956
256,128,512,atlas,9537657,13665,0.006619817
256,128,1024,atlas,15820657,21521,0.012660204
256,128,2048,atlas,28386657,37092,0.023483620
256,128,4096,atlas,53518661,68533,0.031929651
256,256,4,atlas,6493688,9802,0.008969793
256,256,8,atlas,6591356,9974,0.008863256
256,256,32,atlas,7185530,10721,0.009059331
256,256,64,atlas,7966813,11788,0.003086851
256,256,128,atlas,9537647,13782,0.004463193
256,256,256,atlas,12679157,17714,0.005788108
256,256,512,atlas,18962161,25240,0.016502708
256,256,1024,atlas,31528161,41005,0.022002574
256,256,2048,atlas,56660157,72128,0.036916440
256,256,4096,atlas,106924138,135377,0.048664619
256,512,4,atlas,12873821,17834,0.012384017
256,512,8,atlas,13068652,17985,0.012810446
256,512,32,atlas,14250958,19427,0.013193966
256,512,64,atlas,15828771,21575,0.008629014
256,512,128,atlas,18962147,25346,0.017186898
256,512,256,atlas,25245156,33133,0.018297348
256,512,512,atlas,37811152,48794,0.027923978
256,512,1024,atlas,62943156,80251,0.032385394
256,512,2048,atlas,113207148,143200,0.049426457
256,512,4096,atlas,213735144,269183,0.083749065
256,1024,4,atlas,25634136,33751,0.021029753
256,1024,8,atlas,26031455,34084,0.021395644
256,1024,32,atlas,28390698,37162,0.015672240
256,1024,64,atlas,31536290,41198,0.018210236
256,1024,128,atlas,37811147,48840,0.020900048
256,1024,256,atlas,50377156,64573,0.035382003
256,1024,512,atlas,75509152,96086,0.039710455
256,1024,1024,atlas,125773148,159423,0.056602942
256,1024,2048,atlas,226301144,284812,0.093791512
256,1024,4096,atlas,427357136,536455,0.144214066
256,2048,4,atlas,51162939,65631,0.029031929
256,2048,8,atlas,51948936,66375,0.034614962
256,2048,32,atlas,56664194,73268,0.035841414
256,2048,64,atlas,62951290,80418,0.035676394
256,2048,128,atlas,75509132,95953,0.043586773
256,2048,256,atlas,100641148,127398,0.046232789
256,2048,512,atlas,150905148,190478,0.064833490
256,2048,1024,atlas,251433125,316354,0.101649297
256,2048,2048,atlas,452489140,567420,0.150378137
256,2048,4096,atlas,854601101,1071971,0.297272883
256,4096,4,atlas,102212292,129382,0.046026102
256,4096,8,atlas,103783615,131608,0.046666494
256,4096,32,atlas,113211190,143205,0.054923190
