M,K,N,Command,Elapsed Time
8700,8700,8700,atlas,79323123
8700,8700,8700,pthread_blis,474821550
8800,8800,8800,blis,80169232
8800,8800,8800,para_blis,27327600
8800,8800,8800,atlas,80684576
8800,8800,8800,pthread_blis,491612294
8900,8900,8900,blis,82948876
8900,8900,8900,para_blis,28229157
8900,8900,8900,atlas,83935393
8900,8900,8900,pthread_blis,504659578
9000,9000,9000,blis,85756764
9000,9000,9000,para_blis,29484646
9000,9000,9000,atlas,86385561
9000,9000,9000,pthread_blis,527224921
9100,9100,9100,blis,88367078
9100,9100,9100,para_blis,30204920
9100,9100,9100,atlas,90663746
9100,9100,9100,pthread_blis,536939712
9200,9200,9200,blis,92145909
9200,9200,9200,para_blis,32550340
9200,9200,9200,atlas,92765712
9200,9200,9200,pthread_blis,570146938
9300,9300,9300,blis,94395507
9300,9300,9300,para_blis,32321484
9300,9300,9300,atlas,95728931
9300,9300,9300,pthread_blis,657667267
9400,9400,9400,blis,97914388
9400,9400,9400,para_blis,34216444
9400,9400,9400,atlas,98211392
9400,9400,9400,pthread_blis,1946088644
9500,9500,9500,blis,100694979
9500,9500,9500,para_blis,34627723
9500,9500,9500,atlas,103055879
9500,9500,9500,pthread_blis,
9600,9600,9600,blis,103352831
9600,9600,9600,para_blis,36314819
9600,9600,9600,atlas,104628640
9600,9600,9600,pthread_blis,
9700,9700,9700,blis,107225285
9700,9700,9700,para_blis,37196992
9700,9700,9700,atlas,108804187
9700,9700,9700,pthread_blis,
9800,9800,9800,blis,109912264
9800,9800,9800,para_blis,36942072
9800,9800,9800,atlas,111484042
9800,9800,9800,pthread_blis,
9900,9900,9900,blis,114599619
9900,9900,9900,para_blis,39162453
9900,9900,9900,atlas,116346930
9900,9900,9900,pthread_blis,
10000,10000,10000,blis,116797897
10000,10000,10000,para_blis,39576793
10000,10000,10000,atlas,118127077
10000,10000,10000,pthread_blis,
