M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,150,128,para_blis,33592711,50086,5101,799,0.012193557
32,150,150,blis,3355529,11922,6983,<not,0.001781449
32,150,150,pool_blis,27711337,758388,711620,20954,0.032924357
32,150,150,pthread_blis,25718619,70704,39451,11245,0.009425360
32,150,150,para_blis,62603013,128491,58108,93352,0.017207943
32,150,170,blis,3728232,12903,7393,<not,0.001923603
32,150,170,pool_blis,29782478,831277,793561,32017,0.036516753
32,150,170,pthread_blis,28697894,76826,41839,10772,0.010099796
32,150,170,para_blis,71054776,145334,64854,104862,0.019119247
32,150,200,blis,4220739,13635,7476,<not,0.002078183
32,150,200,pool_blis,36780277,997219,951389,43514,0.043332140
32,150,200,pthread_blis,32633662,83899,45391,3655,0.011501911
32,150,200,para_blis,81274523,168021,71634,124377,0.021158075
32,150,220,blis,4602703,14877,7832,<not,0.002248191
32,150,220,pool_blis,39281620,1092567,1025882,56957,0.047161730
32,150,220,pthread_blis,35688209,90890,47521,6855,0.012300593
32,150,220,para_blis,88667655,151647,62124,99781,0.023020915
32,150,256,blis,5204144,15959,8104,<not,0.002380011
32,150,256,pool_blis,43102433,1219708,1149803,61645,0.053396683
32,150,256,pthread_blis,40495294,100789,53935,12060,0.013890663
32,150,256,para_blis,62008156,104757,15477,21396,0.023286016
32,150,275,blis,5570313,16847,8483,<not,0.002488738
32,150,275,pool_blis,46265749,1259684,1199707,56870,0.054537207
32,150,275,pthread_blis,43423242,107543,55856,10743,0.014858240
32,150,275,para_blis,67660369,103315,12766,7796,0.023430798
32,150,300,blis,6007548,17935,9010,<not,0.002752342
32,150,300,pool_blis,53048300,1322221,1261469,60233,0.057603170
32,150,300,pthread_blis,46917467,114632,59118,20376,0.016245262
32,150,300,para_blis,71997377,106720,11689,3865,0.026047799
32,150,350,blis,6867751,19607,9038,<not,0.003032464
32,150,350,pool_blis,59969911,1518265,1443797,57596,0.066849081
32,150,350,pthread_blis,53794399,128903,64584,25563,0.018352202
32,150,350,para_blis,82216086,117145,5121,3850,0.029135243
32,150,400,blis,7732146,21465,10179,14147,0.003956449
32,150,400,pool_blis,69466223,1763263,1686280,71728,0.077677618
32,150,400,pthread_blis,60709642,141332,73521,20147,0.020465237
32,150,400,para_blis,92719452,131480,13029,176,0.033572507
32,170,32,blis,1402524,7684,5900,<not,0.001210533
32,170,32,pool_blis,10965794,307778,297391,4815,0.013505416
